"ODPIdriveInput","Index","EnableTW","Xtr_Mode","NullDut","Xtr_Enable","Xtr_Type","Chip_Select","Chain","iforce_vsense_sel","Ioff","vForce (V)","vRange(V)","IVPair","Suitename","Testname"
"O_IDL_8XSNMOS_X083",83,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X084",84,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X085",85,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X086",86,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X087",87,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X088",88,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X089",89,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X090",90,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X091",91,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X092",92,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X093",93,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X094",94,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X095",95,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X096",96,"Yes",,"0b100","0b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
