"memInst","ctlrID","repairType","wordCount","wordSize","colMux","memBlock","block","efuseCfg","memIDBits","memIDSeq","memStartAddr","memEndAddr","numSlices","rgs[1]","rds[1]","wordStart[1]","wordStop[1]","rgs[2]","rds[2]","wordStart[2]","wordStop[2]","rgs[3]","rds[3]","wordStart[3]","wordStop[3]","rgs[4]","rds[4]","wordStart[4]","wordStop[4]","rgs[5]","rds[5]","wordStart[5]","wordStop[5]","rgs[6]","rds[6]","wordStart[6]","wordStop[6]","rgs[7]","rds[7]","wordStart[7]","wordStop[7]","rgs[8]","rds[8]","wordStart[8]","wordStop[8]","Suite name","Test name"
"1987","6","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x01","1","42"
"1988","6","-1","256","26","4","1","0","0","0","0","0","255","1","0x20","0x06","1","26"
"1989","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x04","1","32"
"1990","6","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x05","1","34"
"1991","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x03","1","32"
"1992","6","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x02","1","32","0x08","0x03","1","22"
"1993","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x05","1","32"
"1996","6","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x01","1","32"
"1997","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x04","1","32"
"1998","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"1999","6","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"2000","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"2001","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"2002","6","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
"2003","6","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x04","1","32"
"2004","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x00","1","32"
"2005","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x02","1","32"
"2006","6","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x00","1","32"
"2007","6","-1","1024","25","4","1","0","0","0","0","0","1023","1","0x10","0x00","1","25"
"2008","6","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x02","1","32"
"2009","6","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x03","1","32"
"2010","6","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x07","1","34"
"2011","6","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x03","1","42"
"2012","6","-1","512","28","4","1","0","0","0","0","0","511","1","0x21","0x00","1","28"
"830","7","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x00","1","32","0x08","0x01","1","22"
"831","7","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x06","1","32"
