node_id,Bypassed,SuiteName,SoftBinNum,SoftBinName,HardBinName,BinNumber,BinSource,BinOveron(local),Testmethod,Kepler_TestNameTypelist_pg2.csv : FT_RPC_HT
208,,CHAIN_P06_PG_FuncVmaxFT_st,1028,FUNC_K_CHAIN_P06_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
211,,CHAIN_P07_PG_FuncVmaxFT_st,1029,FUNC_K_CHAIN_P07_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
214,,CHAIN_P08_PG_FuncVmaxFT_st,1030,FUNC_K_CHAIN_P08_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
217,,CHAIN_P09_PG_FuncVmaxFT_st,1031,FUNC_K_CHAIN_P09_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
220,,CHAIN_P10_PG_FuncVmaxFT_st,1032,FUNC_K_CHAIN_P10_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
223,,PB_PLL_S1R_AA_1_PG_AtSpeedVmax_st,1113,FUNC_K_PB_PLL_S1R_AA_1_F,F_FUNC_SRAM,15,cat,,ti_tml.Digital.Functional,!1
226,,PB_PLL_S1R_Gx_COLD_AtSpeedVmax_st,1114,FUNC_K_PB_PLL_S1R_G0_1_F,F_FUNC_SRAM,15,cat,,ti_tml.Digital.Functional,MISSING TestNameType ENTRY
229,,PB_PLL_S1R_T0_1_PG_AtSpeedVmax_st,1122,FUNC_K_PB_PLL_S1R_T0_1_F,F_FUNC_SRAM,15,cat,,ti_tml.Digital.Functional,!1
232,,PB_PLL_S1R_G0_1_PG_AtSpeedVmax_st,1114,FUNC_K_PB_PLL_S1R_G0_1_F,F_FUNC_SRAM,15,cat,,ti_tml.Digital.Functional,!1
235,,PB_PLL_S1R_G1_1_PG_AtSpeedVmax_st,1115,FUNC_K_PB_PLL_S1R_G1_1_F,F_FUNC_SRAM,15,cat,,ti_tml.Digital.Functional,!1
238,,PB_PLL_S1R_G2_1_PG_AtSpeedVmax_st,1116,FUNC_K_PB_PLL_S1R_G2_1_F,F_FUNC_SRAM,15,cat,,ti_tml.Digital.Functional,!1
242,,SAF_P00_PG_FuncVmaxFT_st,1035,FUNC_K_SAF_P00_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
245,,SAF_P01_PG_FuncVmaxFT_st,1036,FUNC_K_SAF_P01_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
248,,SAF_P02_PG_FuncVmaxFT_st,1037,FUNC_K_SAF_P02_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
251,,SAF_P03_PG_FuncVmaxFT_st,1038,FUNC_K_SAF_P03_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
254,,SAF_P04_PG_FuncVmaxFT_st,1039,FUNC_K_SAF_P04_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
257,,SAF_P05_PG_FuncVmaxFT_st,1040,FUNC_K_SAF_P05_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
260,,SAF_P06_PG_FuncVmaxFT_st,1041,FUNC_K_SAF_P06_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
263,,SAF_P07_PG_FuncVmaxFT_st,1042,FUNC_K_SAF_P07_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
266,,SAF_P08_PG_FuncVmaxFT_st,1043,FUNC_K_SAF_P08_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
269,,SAF_P09_PG_FuncVmaxFT_st,1044,FUNC_K_SAF_P09_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
272,,SAF_P10_PG_FuncVmaxFT_st,1045,FUNC_K_SAF_P10_F,F_FUNC,13,cat,,ti_tml.Digital.Functional,!1
