SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
1261,FUNC_M_TRANS_P08_F,F_FUNC_SPEED,14
1262,FUNC_M_TRANS_P09_F,F_FUNC_SPEED,14
1263,FUNC_M_TRANS_P10_F,F_FUNC_SPEED,14
1266,FUNC_M_PB_PLL_1PR_AA_3_F,F_FUNC_SRAM,15
1267,FUNC_M_PB_PLL_1PR_C1_3_F,F_FUNC_SRAM,15
1268,FUNC_M_PB_PLL_1PR_C3_3_F,F_FUNC_SRAM,15
1270,FUNC_M_PB_PLL_1PR_C3_4_F,F_FUNC_SRAM,15
1273,FUNC_M_PB_PLL_2PR_AA_3_F,F_FUNC_SRAM,15
1274,FUNC_M_PB_PLL_2PR_C1_3_F,F_FUNC_SRAM,15
1276,FUNC_M_PB_PLL_2PR_C2_2_F,F_FUNC_SRAM,15
1277,FUNC_M_PB_PLL_2PR_C3_3_F,F_FUNC_SRAM,15
1279,FUNC_M_PB_PLL_2PR_C3_4_F,F_FUNC_SRAM,15
1280,FUNC_M_PB_PLL_DSP_AA_3_F,F_FUNC_SRAM,15
1281,FUNC_M_PB_PLL_DSP_C1_3_F,F_FUNC_SRAM,15
1282,FUNC_M_PB_PLL_DSP_AA_6_F,F_FUNC_SRAM,15
1283,FUNC_M_PB_PLL_DSP_C1_6_F,F_FUNC_SRAM,15
1284,FUNC_M_PB_PLL_DSP_C2_3_F,F_FUNC_SRAM,15
1285,FUNC_M_PB_PLL_DSP_C2_6_F,F_FUNC_SRAM,15
1287,FUNC_M_PB_PLL_DSP_C3_2_F,F_FUNC_SRAM,15
1288,FUNC_M_PB_PLL_DSP_C3_3_F,F_FUNC_SRAM,15
1289,FUNC_M_PB_PLL_DSP_C3_6_F,F_FUNC_SRAM,15
1291,FUNC_M_PB_PLL_DSP_T0_F_F,F_FUNC_SRAM,15
1293,FUNC_M_PB_PLL_DSP_T0_T_F,F_FUNC_SRAM,15
1294,FUNC_M_PB_PLL_RTA_AA_1_F,F_FUNC_SRAM,15
1295,FUNC_M_PB_PLL_RTA_G0_1_F,F_FUNC_SRAM,15
1296,FUNC_M_PB_PLL_RTA_G1_1_F,F_FUNC_SRAM,15
1297,FUNC_M_PB_PLL_RTA_G2_1_F,F_FUNC_SRAM,15
1298,FUNC_M_PB_PLL_RTA_G3_1_F,F_FUNC_SRAM,15
1299,FUNC_M_PB_PLL_RTA_G4_1_F,F_FUNC_SRAM,15
1300,FUNC_M_PB_PLL_RTA_G5_1_F,F_FUNC_SRAM,15
1301,FUNC_M_PB_PLL_RTA_G6_1_F,F_FUNC_SRAM,15
1302,FUNC_M_PB_PLL_RTA_G7_1_F,F_FUNC_SRAM,15
1303,FUNC_M_PB_PLL_RTA_M0_1_F,F_FUNC_SRAM,15
1305,FUNC_M_PB_PLL_RTA_T0_F_F,F_FUNC_SRAM,15
1306,FUNC_M_PB_PLL_S1R_AA_1_F,F_FUNC_SRAM,15
1307,FUNC_M_PB_PLL_S1R_G0_1_F,F_FUNC_SRAM,15
1308,FUNC_M_PB_PLL_S1R_G1_1_F,F_FUNC_SRAM,15
1309,FUNC_M_PB_PLL_S1R_G2_1_F,F_FUNC_SRAM,15
1310,FUNC_M_PB_PLL_S1R_G3_1_F,F_FUNC_SRAM,15
1311,FUNC_M_PB_PLL_S1R_G4_1_F,F_FUNC_SRAM,15
1312,FUNC_M_PB_PLL_S1R_G5_1_F,F_FUNC_SRAM,15
1313,FUNC_M_PB_PLL_S1R_G6_1_F,F_FUNC_SRAM,15
1314,FUNC_M_PB_PLL_S1R_G7_1_F,F_FUNC_SRAM,15
1315,FUNC_M_PB_PLL_S1R_T0_1_F,F_FUNC_SRAM,15
1317,FUNC_M_PB_PLL_S2A_C3_2_F,F_FUNC_SRAM,15
1318,FUNC_M_PB_PLL_S4A_AA_1_F,F_FUNC_SRAM,15
1319,FUNC_M_PB_PLL_S4A_G0_1_F,F_FUNC_SRAM,15
1320,FUNC_M_PB_PLL_S4A_AA_2_F,F_FUNC_SRAM,15
1321,FUNC_M_PB_PLL_S4A_G0_2_F,F_FUNC_SRAM,15
1322,FUNC_M_PB_PLL_S4A_G1_1_F,F_FUNC_SRAM,15
1323,FUNC_M_PB_PLL_S4A_G1_2_F,F_FUNC_SRAM,15
1324,FUNC_M_PB_PLL_S4A_G2_1_F,F_FUNC_SRAM,15
1325,FUNC_M_PB_PLL_S4A_G2_2_F,F_FUNC_SRAM,15
1326,FUNC_M_PB_PLL_S4A_G3_1_F,F_FUNC_SRAM,15
1327,FUNC_M_PB_PLL_S4A_G3_2_F,F_FUNC_SRAM,15
1328,FUNC_M_PB_PLL_S4A_G4_1_F,F_FUNC_SRAM,15
1329,FUNC_M_PB_PLL_S4A_G4_2_F,F_FUNC_SRAM,15
1330,FUNC_M_PB_PLL_S4A_G5_1_F,F_FUNC_SRAM,15
