"GroupName","InstName","CTLR","Chain","FROM","RowStart","ColStart","RowStop","ColStop","RowSize","InstBits","MemIndex","PreRead","ECC","Protect","Repair","BitMask","BitOrder","InstData","Test name","Suite name"
"","PBIST","1","0","1","39","17","40","9","25","18","769","","","","","","","","",""
"","PBIST","1","0","1","40","10","41","2","25","18","875","","","","","","","","",""
"","PBIST","1","0","1","41","3","41","20","25","18","859","","","","","","","","",""
"","PBIST","1","0","1","41","21","42","13","25","18","815","","","","","","","","",""
"","PBIST","1","0","1","42","14","43","6","25","18","770","","","","","","","","",""
"","PBIST","1","0","1","43","7","43","24","25","18","736","","","","","","","","",""
"","PBIST","1","0","1","44","0","44","17","25","18","788","","","","","","","","",""
"","PBIST","1","0","1","44","18","45","10","25","18","778","","","","","","","","",""
"","PBIST","1","0","1","45","11","46","3","25","18","727","","","","","","","","",""
"","PBIST","1","0","1","46","4","46","21","25","18","833","","","","","","","","",""
"","PBIST","1","0","1","46","22","47","14","25","18","822","","","","","","","","",""
"","PBIST","1","0","1","47","15","48","7","25","18","741","","","","","","","","",""
"","PBIST","1","0","1","48","8","49","0","25","18","832","","","","","","","","",""
"","PBIST","1","0","1","49","1","49","18","25","18","872","","","","","","","","",""
"","PBIST","1","0","1","49","19","50","11","25","18","854","","","","","","","","",""
"","PBIST","1","0","1","50","12","51","4","25","18","744","","","","","","","","",""
"","PBIST","1","0","1","51","5","51","22","25","18","756","","","","","","","","",""
"","PBIST","1","0","1","51","23","52","15","25","18","720","","","","","","","","",""
"","PBIST","1","0","1","52","16","53","8","25","18","771","","","","","","","","",""
"","PBIST","1","0","1","53","9","54","1","25","18","796","","","","","","","","",""
"","PBIST","1","0","1","54","2","54","19","25","18","809","","","","","","","","",""
"","PBIST","1","0","1","54","20","55","12","25","18","820","","","","","","","","",""
"","PBIST","1","0","1","55","13","56","5","25","18","798","","","","","","","","",""
"","PBIST","1","0","1","56","6","56","23","25","18","761","","","","","","","","",""
"","PBIST","1","0","1","56","24","57","16","25","18","782","","","","","","","","",""
"","PBIST","1","0","1","57","17","58","9","25","18","848","","","","","","","","",""
"","PBIST","1","0","1","58","10","59","2","25","18","823","","","","","","","","",""
"","PBIST","1","0","1","59","3","59","20","25","18","830","","","","","","","","",""
"","PBIST","1","0","1","59","21","60","13","25","18","775","","","","","","","","",""
"","PBIST","1","0","1","60","14","61","6","25","18","728","","","","","","","","",""
"","PBIST","1","0","1","61","7","61","24","25","18","805","","","","","","","","",""
"","PBIST","1","0","1","62","0","62","17","25","18","793","","","","","","","","",""
"","PBIST","1","0","1","62","18","63","10","25","18","754","","","","","","","","",""
"","PBIST","1","0","1","63","11","64","3","25","18","803","","","","","","","","",""
"","PBIST","1","0","1","64","4","64","21","25","18","852","","","","","","","","",""
"","PBIST","1","0","1","64","22","65","14","25","18","988","","","","","","","","",""
"","PBIST","1","0","1","65","15","66","7","25","18","924","","","","","","","","",""
"","PBIST","1","0","1","66","8","67","0","25","18","993","","","","","","","","",""
"","PBIST","1","0","1","67","1","67","18","25","18","1215","","","","","","","","",""
"","PBIST","1","0","1","67","19","68","11","25","18","1132","","","","","","","","",""
"","PBIST","1","0","1","68","12","69","4","25","18","1204","","","","","","","","",""
"","PBIST","1","0","1","69","5","69","22","25","18","1103","","","","","","","","",""
"","PBIST","1","0","1","69","23","70","15","25","18","1246","","","","","","","","",""
"","PBIST","1","0","1","70","16","71","8","25","18","976","","","","","","","","",""
"","PBIST","1","0","1","71","9","72","1","25","18","1190","","","","","","","","",""
"","PBIST","1","0","1","72","2","72","19","25","18","1153","","","","","","","","",""
"","PBIST","1","0","1","72","20","73","12","25","18","1070","","","","","","","","",""
"","PBIST","1","0","1","73","13","74","5","25","18","915","","","","","","","","",""
"","PBIST","1","0","1","74","6","74","23","25","18","1165","","","","","","","","",""
"","PBIST","1","0","1","74","24","75","16","25","18","1044","","","","","","","","",""
"","PBIST","1","0","1","75","17","76","9","25","18","1086","","","","","","","","",""
"","PBIST","1","0","1","76","10","77","2","25","18","980","","","","","","","","",""
"","PBIST","1","0","1","77","3","77","20","25","18","943","","","","","","","","",""
"","PBIST","1","0","1","77","21","78","13","25","18","1239","","","","","","","","",""
"","PBIST","1","0","1","78","14","79","6","25","18","1199","","","","","","","","",""
"","PBIST","1","0","1","79","7","79","24","25","18","983","","","","","","","","",""
"","PBIST","1","0","1","80","0","80","17","25","18","1194","","","","","","","","",""
"","PBIST","1","0","1","80","18","81","10","25","18","1107","","","","","","","","",""
"","PBIST","1","0","1","81","11","82","3","25","18","903","","","","","","","","",""
"","PBIST","1","0","1","82","4","82","21","25","18","1149","","","","","","","","",""
"","PBIST","1","0","1","82","22","83","14","25","18","1053","","","","","","","","",""
"","PBIST","1","0","1","83","15","84","7","25","18","979","","","","","","","","",""
"","PBIST","1","0","1","84","8","85","0","25","18","1222","","","","","","","","",""
"","PBIST","1","0","1","85","1","85","18","25","18","1168","","","","","","","","",""
"","PBIST","1","0","1","85","19","86","11","25","18","1207","","","","","","","","",""
"","PBIST","1","0","1","86","12","87","4","25","18","975","","","","","","","","",""
"","PBIST","1","0","1","87","5","87","22","25","18","1205","","","","","","","","",""
"","PBIST","1","0","1","87","23","88","15","25","18","972","","","","","","","","",""
"","PBIST","1","0","1","88","16","89","8","25","18","886","","","","","","","","",""
"","PBIST","1","0","1","89","9","90","1","25","18","1255","","","","","","","","",""
"","PBIST","1","0","1","90","2","90","19","25","18","1229","","","","","","","","",""
"","PBIST","1","0","1","90","20","91","12","25","18","1062","","","","","","","","",""
"","PBIST","1","0","1","91","13","92","5","25","18","918","","","","","","","","",""
"","PBIST","1","0","1","92","6","92","23","25","18","1035","","","","","","","","",""
"","PBIST","1","0","1","92","24","93","16","25","18","910","","","","","","","","",""
"","PBIST","1","0","1","93","17","94","9","25","18","1197","","","","","","","","",""
"","PBIST","1","0","1","94","10","95","2","25","18","963","","","","","","","","",""
"","PBIST","1","0","1","95","3","95","20","25","18","1041","","","","","","","","",""
"","PBIST","1","0","1","95","21","96","13","25","18","1235","","","","","","","","",""
"","PBIST","1","0","1","96","14","97","6","25","18","877","","","","","","","","",""
"","SCRATCH_REESERVED0","1","0","1","97","7","105","24","25","218","","","","","","","","","",""
"","MP_NMOS_Storage","1","0","1","106","0","106","15","25","16","","","","","","","","","",""
